timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558434955551427,0,-1,-5,-11,-2,1,1,-3
1558434955551427,-1,-1,-4,1,3,5,0,1
1558434955552424,-1,-1,-1,-6,-2,-3,-1,0
1558434955552424,1,1,5,14,4,-5,-3,-1
1558434955553421,-1,0,-10,-22,-9,-3,-2,-1
1558434955553421,0,-1,3,15,7,1,0,-1
1558434955554419,0,-4,-3,-3,1,1,-1,-1
1558434955554419,-2,-1,-1,11,3,1,-2,0
1558434955566386,0,0,1,7,1,-1,0,-2
1558434955566386,-2,0,3,-6,-2,0,-1,-4
1558434955573367,1,-2,-3,0,-6,-5,-2,-1
1558434955573367,-1,-4,2,-3,-2,1,2,0
1558434955581346,0,-2,4,5,4,3,-1,2
1558434955581346,-1,-3,-9,-18,0,3,3,4
1558434955594314,-3,0,-1,2,4,4,1,0
1558434955594314,-2,-2,-9,-12,-7,-5,-1,-1
1558434955606285,-4,-4,-6,-3,-8,-6,-3,-4
1558434955606285,-2,-2,4,14,1,-3,-4,-2
1558434955610268,-2,1,1,-1,-6,0,0,0
1558434955610268,0,-1,-3,-8,6,2,0,0
1558434955634204,0,0,7,14,4,1,-2,-2
1558434955634204,-2,0,-1,-14,-6,-4,-3,-5
1558434955635202,-4,-3,-1,0,-4,-3,-3,-2
1558434955635202,0,0,-1,-8,-6,0,-3,-1
1558434955680082,-1,-2,-14,-15,0,1,-1,0
1558434955680082,-1,0,-3,-1,-4,-3,-1,-2
1558434955681079,-3,-1,-4,-2,-1,-1,0,-3
1558434955681079,-2,-2,-7,-6,-4,-4,-5,-2
1558434955682076,-1,3,11,14,3,-2,1,0
1558434955682076,-2,-5,-12,-12,-11,-6,-3,-3
1558434955685070,0,-3,1,11,-2,-1,-1,0
1558434955685070,1,1,-1,-16,5,6,3,3
1558434955692049,-2,-4,-4,0,0,-1,-2,-3
1558434955692049,3,1,2,2,8,5,4,3
1558434955700029,-1,0,1,-2,-4,-5,-3,-3
1558434955700029,-2,-3,3,11,-3,-2,-4,-5
1558434955707011,-1,1,-4,-9,-6,-4,0,0
1558434955707011,-1,2,-2,-6,-2,1,0,1
1558434955722967,-3,-1,-2,2,8,3,-1,0
1558434955722967,-3,-1,4,4,2,-1,-1,0
1558434955729950,-1,-2,3,10,-3,-2,-3,-1
1558434955729950,-3,-3,1,2,1,0,-2,0
1558434955736929,0,-2,-5,-10,-6,-3,-2,-4
1558434955736929,-3,3,-2,-4,-6,-6,-4,-2
1558434955751890,0,1,2,2,0,0,2,-3
1558434955751890,1,-1,5,4,5,2,0,0
1558434955760867,1,0,5,2,1,1,1,1
